Repair_Time,Waiting_Time,Satisfaction_Level
2.5,1,4
3,1.2,3
4.2,1.5,2
2.8,0.8,4
5,2,2
3.5,1.2,3
4,1.8,3
2.3,0.7,5
3.7,1.4,2
4.5,2.2,2
3.2,1.1,4
2.7,1.3,4
3.8,1,3
2.6,0.9,5
4.1,1.7,2
3.3,1.5,3
3.1,1.4,3
4.3,1.9,2
2.9,1.1,4
3.9,1.6,2
4.4,2,2
3.4,1.6,3
4.6,2.3,2
2.4,0.6,5
3.6,1.3,3
4.7,2.1,2
2.2,0.5,5
3.5,1.7,3
4.8,2.4,2
2.1,0.4,5
3.5,1,4
3,1.2,3
4.2,1.5,2
2.8,0.8,4
5,2,2
3.5,1.2,3
4,1.8,3
2.3,0.7,5
3.7,1.4,2
4.5,2.2,2
3.2,1.1,4
2.7,1.3,4
3.8,1,3
2.6,0.9,5
4.1,1.7,2
3.3,1.5,3
3.1,1.4,3
4.3,1.9,2
2.9,1.1,4
3.9,1.6,2
4.4,2,2
3.4,1.6,3
4.6,2.3,2
2.4,0.6,5
3.6,1.3,3
4.7,2.1,2
2.2,0.5,5
3.5,1.7,3
4.8,2.4,2
2.1,0.4,5
