iter	RMSE
0	22.91265568
1	20.7788621
2	18.86831007
3	17.12629237
4	15.54854792
5	14.12435674
6	12.82745106
7	11.64173513
8	10.59435045
9	9.666002553
10	8.803650159
11	8.004515339
12	7.297624838
13	6.670052262
14	6.090919854
15	5.568805526
16	5.100668374
17	4.676169136
18	4.311485032
19	3.989422469
20	3.686692791
21	3.416357339
22	3.181775232
23	2.968022688
24	2.785195249
25	2.612758596
26	2.466829771
27	2.332061474
28	2.213116803
29	2.113040006
30	2.025534688
31	1.944515324
32	1.872323657
33	1.813926289
34	1.758812587
35	1.70894052
36	1.667332879
37	1.630401087
38	1.599098895
39	1.567892687
40	1.543399275
41	1.522376761
42	1.501583337
43	1.481626567
44	1.463985342
45	1.448015976
46	1.434412493
47	1.421434268
48	1.409264964
49	1.396384129
50	1.387437075
51	1.37735361
52	1.372178131
53	1.363349076
54	1.353738945
55	1.342676384
56	1.332193193
57	1.326124461
58	1.32036103
59	1.315346403
60	1.309133654
61	1.304239087
62	1.296318001
63	1.290790012
64	1.282405518
65	1.276224151
66	1.271457682
67	1.268109662
68	1.263461324
69	1.259866083
70	1.255505004
71	1.251980033
72	1.248127835
73	1.243591821
74	1.238905318
75	1.235466042
76	1.232585408
77	1.229913494
78	1.223418682
79	1.220834648
80	1.218086118
81	1.211970261
82	1.20872763
83	1.206875418
84	1.20456428
85	1.201989125
86	1.199726054
87	1.195476515
88	1.193190495
89	1.190766266
90	1.184261048
91	1.181883662
92	1.176484185
93	1.174033202
94	1.16825198
95	1.165694176
96	1.164140031
97	1.158618807
98	1.156269092
99	1.154269719
100	1.149862354
101	1.146101612
102	1.144990285
103	1.143313174
104	1.141332868
105	1.136087161
106	1.134165395
107	1.132540275
108	1.128163867
109	1.124652692
110	1.120516009
111	1.119580697
112	1.117493618
113	1.114013187
114	1.112083777
115	1.108999358
116	1.107626405
117	1.105878042
118	1.101013295
119	1.100429978
120	1.097495152
121	1.096003949
122	1.093227309
123	1.090785349
124	1.088293696
125	1.084079014
126	1.079491928
127	1.077390151
128	1.075341666
129	1.074561056
130	1.072199876
131	1.071113791
132	1.068700327
133	1.065904231
134	1.059793208
135	1.057214656
136	1.052276044
137	1.050336696
138	1.049301365
139	1.048732266
140	1.046572691
141	1.043848139
142	1.041891918
143	1.0374941
144	1.035333289
145	1.032651897
146	1.032157288
147	1.0303567
148	1.029889866
149	1.028970054
150	1.027112177
151	1.024594992
152	1.02261192
153	1.021765722
154	1.020983229
155	1.020520287
156	1.018999829
157	1.018284794
158	1.017622013
159	1.016627375
160	1.01592755
161	1.01281321
162	1.011802717
163	1.008203413
164	1.004727559
165	0.9994046998
166	0.9990307405
167	0.9938490593
168	0.9914606574
169	0.9900311682
170	0.9896544542
171	0.9867584844
172	0.984534959
173	0.98254516
174	0.9793175148
175	0.9760490425
176	0.9737556659
177	0.9734007756
178	0.9717683968
179	0.9712430972
180	0.9702728805
181	0.9697039725
182	0.9674551042
183	0.9670398434
184	0.9638376895
185	0.9611064988
186	0.959927953
187	0.9591807674
188	0.9556493963
189	0.9547232975
190	0.9516887879
191	0.9497501211
192	0.9487610461
193	0.9470721568
194	0.9443849985
195	0.9425851769
196	0.9411653898
197	0.9393115826
198	0.9371869174
199	0.9363170254
200	0.9346534241
201	0.9338515209
202	0.9330522376
203	0.9295957401
204	0.9286384746
205	0.9280775753
206	0.9263976315
207	0.9244935413
208	0.9221433468
209	0.9211439459
210	0.9204508254
211	0.9193616572
212	0.9166208858
213	0.9153239005
214	0.9146008145
215	0.9119602013
216	0.9112179182
217	0.9091852652
218	0.90715753
219	0.9054381742
220	0.9043447675
221	0.9018099791
222	0.8994135329
223	0.8981004002
224	0.8967984225
225	0.894755819
226	0.8943197548
227	0.8935849986
228	0.8921821719
229	0.8901278782
230	0.8885205572
231	0.8869394966
232	0.886185309
233	0.8849423541
234	0.8819481727
235	0.8810531014
236	0.8794868483
237	0.8785895013
238	0.8769666217
239	0.8755430343
240	0.8737344979
241	0.8720089198
242	0.8699965437
243	0.8680750079
244	0.8661737334
245	0.8655268018
246	0.8648353184
247	0.8640386177
248	0.8624748984
249	0.8622161668
250	0.8609153841
251	0.8602679722
252	0.857985312
253	0.8568200253
254	0.8556372059
255	0.8544479075
256	0.8531998521
257	0.8520598949
258	0.8514130722
259	0.8497535727
260	0.8482877113
261	0.8457021735
262	0.8446900025
263	0.8419465661
264	0.8411250057
265	0.8398580655
266	0.8388108881
267	0.8378070049
268	0.8367096551
269	0.8353917129
270	0.8345674482
271	0.8342007678
272	0.8324628781
273	0.8308250939
274	0.8299978926
275	0.8290001109
276	0.8265494662
277	0.8251669967
278	0.8248221379
279	0.8242750676
280	0.8229096929
281	0.8223462607
282	0.8217743807
283	0.8201975167
284	0.8187362308
285	0.8179575703
286	0.817753435
287	0.816063038
288	0.8151720409
289	0.8130279342
290	0.8108561254
291	0.8098422881
292	0.8079375721
293	0.8064410854
294	0.8055048371
295	0.8048693509
296	0.8043736129
297	0.8039396932
298	0.803352662
299	0.8028110749
300	0.8014356394
301	0.8009374656
302	0.7998443072
303	0.7994461022
304	0.7983757649
305	0.7978222491
306	0.7967130989
307	0.7951679058
308	0.7938722145
309	0.7928061323
310	0.7910651782
311	0.7906424264
312	0.7900684341
313	0.7889938883
314	0.7881361118
315	0.7877798613
316	0.7866641509
317	0.7860936038
318	0.7838988679
319	0.7829590452
320	0.7825718081
321	0.7817299302
322	0.7803548998
323	0.7799624239
324	0.7787421015
325	0.7769606445
326	0.775985332
327	0.7750240483
328	0.7735845852
329	0.7732246586
330	0.7716552453
331	0.7706300118
332	0.7689957164
333	0.76736129
334	0.7666644606
335	0.7659743962
336	0.7655881298
337	0.7650781283
338	0.7632859206
339	0.7625306188
340	0.7620556136
341	0.7611613502
342	0.7605874854
343	0.7598024623
344	0.7594921499
345	0.7591748508
346	0.7585084152
347	0.75747135
348	0.7556374456
349	0.7547861374
350	0.7542953039
351	0.7536362851
352	0.7520073768
353	0.7507931269
354	0.7502270763
355	0.7496224852
356	0.7487153355
357	0.7471503255
358	0.7468337729
359	0.7460086341
360	0.7457020873
361	0.7446801374
362	0.7432444029
363	0.7427056225
364	0.7417611488
365	0.7406251025
366	0.7391604395
367	0.7381163389
368	0.7376814243
369	0.7367050585
370	0.7348833362
371	0.7342615584
372	0.7333082823
373	0.7329503026
374	0.7319635549
375	0.7311732483
376	0.7308514694
377	0.7300831378
378	0.7294548075
379	0.7282052415
380	0.7277595965
381	0.7272799537
382	0.7259986742
383	0.7256957322
384	0.7251497548
385	0.724581616
386	0.7234712722
387	0.7228091376
388	0.7217653389
389	0.7213761209
390	0.7202674619
391	0.7190764555
392	0.7177854239
393	0.7167973931
394	0.7154488857
395	0.7144026819
396	0.7135995654
397	0.7128057942
398	0.7122074574
399	0.7118388889
400	0.7110952058
401	0.7100492348
402	0.7093312895
403	0.7080705696
404	0.7076466912
405	0.7073546873
406	0.7068207358
407	0.7061136582
408	0.705758165
409	0.705046339
410	0.7043495825
411	0.7036649948
412	0.7033803259
413	0.7027341418
414	0.7013569244
415	0.7004934957
416	0.6993162972
417	0.6984440803
418	0.6978457164
419	0.697064129
420	0.6962313015
421	0.6951923208
422	0.6941485088
423	0.6933780951
424	0.6930161692
425	0.6927020056
426	0.6918061393
427	0.6910037312
428	0.6903841114
429	0.69015062
430	0.6896557991
431	0.6890594041
432	0.6884102304
433	0.6878598386
434	0.6874364016
435	0.6867963487
436	0.6857510296
437	0.6849852141
438	0.6846404012
439	0.6841189737
440	0.6831564267
441	0.6823972209
442	0.6820356904
443	0.6810317556
444	0.6806898995
445	0.6799573795
446	0.6794101748
447	0.6789348209
448	0.6782109711
449	0.6772214972
450	0.6770057576
451	0.6758246802
452	0.6751793963
453	0.6747707282
454	0.6738019516
455	0.6728705792
456	0.6725596926
457	0.6719428764
458	0.6715998514
459	0.6711876221
460	0.6701419609
461	0.6695485345
462	0.6690064068
463	0.6682486232
464	0.6674210141
465	0.6668160766
466	0.6663814176
467	0.6656094123
468	0.6650436762
469	0.6640295538
470	0.6632238829
471	0.6628087487
472	0.6619819745
473	0.6612755849
474	0.6606041451
475	0.6602617005
476	0.6598551245
477	0.6591938403
478	0.6589600695
479	0.6584174937
480	0.6572947334
481	0.6566609699
482	0.6563141753
483	0.6558012611
484	0.6554270765
485	0.6549395142
486	0.6545323225
487	0.6541092357
488	0.6538490605
489	0.6532905757
490	0.6529841503
491	0.6524696472
492	0.651758303
493	0.6505813581
494	0.6499055082
495	0.6497001686
496	0.6493786141
497	0.6484470936
498	0.6481864563
499	0.6471989168
500	0.6463681883
501	0.6452798324
502	0.645069858
503	0.6447008469
504	0.6441587603
505	0.6434200527
506	0.6424036461
507	0.6414691075
508	0.6405533374
509	0.6399366355
510	0.6395743227
511	0.6391322974
512	0.6384124877
513	0.6380320003
514	0.6377115236
515	0.6373551967
516	0.636156341
517	0.6359831367
518	0.6351208627
519	0.6348550986
