iter	Passed	Remaining
0	5	2678
1	11	2981
2	17	2888
3	22	2835
4	30	3064
5	38	3180
6	45	3211
7	49	3047
8	55	3029
9	63	3132
10	68	3058
11	80	3256
12	85	3193
13	93	3243
14	97	3150
15	101	3062
16	106	3032
17	110	2953
18	114	2892
19	118	2834
20	124	2841
21	131	2860
22	140	2921
23	144	2866
24	148	2818
25	152	2774
26	162	2839
27	167	2831
28	178	2899
29	184	2887
30	193	2929
31	197	2890
32	204	2888
33	208	2853
34	211	2815
35	216	2787
36	226	2830
37	235	2867
38	244	2891
39	248	2855
40	254	2849
41	258	2817
42	262	2790
43	269	2790
44	273	2760
45	276	2732
46	280	2705
47	288	2717
48	293	2699
49	299	2696
50	304	2683
51	308	2661
52	312	2635
53	317	2623
54	321	2600
55	325	2577
56	328	2554
57	334	2549
58	338	2529
59	342	2509
60	348	2505
61	353	2494
62	356	2476
63	362	2466
64	367	2458
65	371	2441
66	375	2424
67	382	2429
68	387	2420
69	391	2403
70	398	2405
71	401	2387
72	404	2368
73	411	2368
74	418	2372
75	428	2391
76	434	2389
77	439	2376
78	446	2376
79	450	2362
80	453	2346
81	459	2342
82	463	2327
83	467	2314
84	472	2307
85	478	2304
86	482	2290
87	487	2281
88	494	2283
89	498	2271
90	503	2261
91	509	2258
92	513	2245
93	519	2241
94	529	2256
95	540	2275
96	546	2269
97	550	2256
98	557	2257
99	561	2244
100	565	2232
101	569	2220
102	574	2213
103	578	2204
104	582	2192
105	589	2189
106	593	2179
107	597	2169
108	606	2175
109	610	2163
110	614	2152
111	620	2148
112	625	2142
113	629	2130
114	637	2135
115	642	2126
116	647	2118
117	655	2122
118	659	2111
119	664	2103
120	672	2105
121	678	2102
122	686	2103
123	690	2095
124	695	2087
125	703	2087
126	707	2077
127	712	2069
128	719	2069
129	724	2062
130	728	2052
131	735	2049
132	740	2043
133	744	2033
134	754	2040
135	758	2030
136	765	2028
137	770	2022
138	775	2013
139	783	2014
140	790	2013
